part,id,key,CN,EN,JP,VI_old,VI_new,HV_new,reason
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_10_8,Main_LahaiRoi_3_2_10_8,她制造的仪器对学院造成了破坏。,She created a robot that caused significant damage to the Academy.,彼女の作った器械が学園に損害を与えた。,Thiết bị do cô bé chế tạo đã gây thiệt hại cho Học Viện.,Thiết bị do cô bé chế tạo đã gây thiệt hại cho Học viện.,Thiết bị do cô bé chế tạo đã gây thiệt hại cho Học viện.,QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_13_3,Main_LahaiRoi_3_2_13_3,装置吗？机械相关的事情请交给我处理，前辈请小心。,A device? Leave the mechanical work to me. Steady now.,装置ですか……？機械のことは私に任せてください。先輩は周囲の警戒を。,"Thiết bị sao? Cứ giao những việc liên quan đến máy móc cho tôi. Tiền bối, hãy cẩn thận.","Cứ giao chuyện máy móc cho em. Tiền bối, hãy cẩn thận.","Cứ giao chuyện máy móc cho em. Tiền bối, hãy cẩn thận.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_14_24,Main_LahaiRoi_3_2_14_24,你和莫宁找到了令这场虚质磁暴发生的元凶：一个封存着虚诞虫的频率的装置。,You and Mornye locate the cause of the Void Storm: a device containing sealed Voidworm frequency.,あなたとモーニエは、今回のヴォイドストームを引き起こした元凶――ヴォイドワームの周波数が封じられた装置を突き止めた。,Bạn và Mornye đã tìm ra thủ phạm gây ra trận từ bão Hư Chất này: một thiết bị phong ấn tần số của Trùng Hư Đản.,Bạn và Mornye đã tìm ra thủ phạm gây ra trận từ bão Hư Chất này: một thiết bị phong ấn tần số của Sâu Hư Không.,Bạn và Mornye đã tìm ra thủ phạm gây ra trận từ bão Hư Chất này: một thiết bị phong ấn tần số của Sâu Hư Không.,QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_14_3,Main_LahaiRoi_3_2_14_3,这也是你的共鸣能力吗？,Was that one of your Resonance Abilities?,{Male=これもモーニエ教授の共鳴能力なのか？;Female=これもモーニエ教授の共鳴能力なの？},Đây cũng là năng lực Cộng hưởng của cậu sao?,Đây cũng là năng lực Cộng Hưởng của cậu sao?,Đây cũng là năng lực Cộng Hưởng của cậu sao?,QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_15_20,Main_LahaiRoi_3_2_15_20,……前几天，我护送即将成熟的日灵前往<te href=700021>浮光林</te>，偶然间遇到了伊摩尔祭司。,"A few days ago, I was shepherding mature Soliskin to <te href=700021>Bjartr Woods</te> when I met Foreseer Yngvar.",……数日前、そろそろ成熟する太陽の精霊を<te href=700021>ビヤートル・ウーズ</te>へ送った時、偶然イングヴァール司祭に会ったんです。,"...Mấy hôm trước, khi hộ tống những con Soliskin sắp trưởng thành đến <te href=700021>Bjartr Woods</te>, Astrid tình cờ gặp Tư Tế Yngvar.","...Mấy hôm trước, khi hộ tống những con Soliskin sắp trưởng thành đến <te href=700021>Bjartr Woods</te>, Astrid tình cờ gặp Tư tế Yngvar.","...Mấy hôm trước, khi hộ tống những con Soliskin sắp trưởng thành đến <te href=700021>Bjartr Woods</te>, Astrid tình cờ gặp Tư tế Yngvar.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_15_24,Main_LahaiRoi_3_2_15_24,我当时没反应过来，就想着把它带回营地里，等下次见到伊摩尔祭司时还给他。,I did not think much of it. I planned to return it to him the next time we meet.,これが何なのか知らなかったんです。キャンプに持ち帰って、今度会った時に返そうと思っただけです。,"Lúc đó Astrid không kịp phản ứng, chỉ nghĩ là mang nó về trại, đợi lần sau gặp Tư Tế Yngvar thì trả lại cho ngài.","Lúc đó Astrid không kịp phản ứng, chỉ nghĩ là mang nó về trại, đợi lần sau gặp Tư tế Yngvar thì trả lại cho ngài.","Lúc đó Astrid không kịp phản ứng, chỉ nghĩ là mang nó về trại, đợi lần sau gặp Tư tế Yngvar thì trả lại cho ngài.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_15_26,Main_LahaiRoi_3_2_15_26,我不敢继续把它放在营地里，却也不敢让伊摩尔祭司发现我拿到了它。,"I did not want to keep it at the camp, but I also did not want Yngvar to know I had taken it.",これ以上、キャンプに置いておくのが怖くなりました。ただ、もし危ないものだった場合、私の手にあることを司祭に知られてはいけないと思い……,"Astrid không dám tiếp tục đặt nó trong trại, nhưng cũng không dám để Tư Tế Yngvar biết mình đã nhặt được nó.","Astrid không dám tiếp tục đặt nó trong trại, nhưng cũng không dám để Tư tế Yngvar biết mình đã nhặt được nó.","Astrid không dám tiếp tục đặt nó trong trại, nhưng cũng không dám để Tư tế Yngvar biết mình đã nhặt được nó.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_19_30,Main_LahaiRoi_3_2_19_30,赫尔琉斯的守村人阿克塞尔对你们的身份产生了怀疑，但莫宁以玛嘉老师的身份获取了信任。你们受邀参与归源之仪前的晚宴。,"Haldarheim's village elder, Aksel, is initially suspicious of you, but Mornye gains his trust by introducing herself as Maja's teacher. You are invited to the pre-rite feast.",ハルダーハイムの守り人であるアクセルは、あなたたちの身分に疑念を抱くも、マージャの先生になりすましていたモーニエの振る舞いで、事に信頼を勝ち取る。こうして、あなたたちは「帰還の儀」前夜の晩餐に招かれることになった。,"Người giữ làng Haldarheim, Aksel, đã nảy sinh nghi ngờ về thân phận của các bạn, nhưng Mornye đã lấy được lòng tin bằng thân phận giáo viên của Maja. Các bạn được mời tham gia bữa tiệc tối trước Nghi Lễ Quy Nguyên.","Người giữ làng Haldarheim, Aksel, đã nảy sinh nghi ngờ về thân phận của các bạn, nhưng Mornye đã lấy được lòng tin bằng thân phận giáo viên của Maja. Các bạn được mời tham gia bữa tiệc tối trước Nghi lễ Quy Nguyên.","Người giữ làng Haldarheim, Aksel, đã nảy sinh nghi ngờ về thân phận của các bạn, nhưng Mornye đã lấy được lòng tin bằng thân phận giáo viên của Maja. Các bạn được mời tham gia bữa tiệc tối trước Nghi lễ Quy Nguyên.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_19_8,Main_LahaiRoi_3_2_19_8,不过，二位身上的气息，一位来自巨剑之上的深空联合，另一位则来自冰原之外更为广袤的世界，为何会成为日灵的牧者，来到此处呢？,"But I must ask, I sense one of you carries the aura of the Spacetrek Collective. The other, from the vast world beyond the frostlands. Why come under the guise of Shepherds?",しかし……一人は<ano=きょけん>巨剣</ano>の上にあるスペーストレック・コレクティブから、もう一人は氷原の外の広い世界から来たようにお見受けします。なぜ、太陽の精霊の牧者となり、ここまで来たのでしょう。,"Tuy nhiên, khí tức trên người hai vị - một vị đến từ Liên Minh Vũ Trụ Thâm Không trên Cự Kiếm, vị còn lại đến từ thế giới rộng lớn bên ngoài băng nguyên - vì sao lại trở thành Mục Giả của Soliskin mà đến đây?","Tuy nhiên, khí tức trên người hai vị - một vị đến từ Spacetrek Collective trên Cự Kiếm, vị còn lại đến từ thế giới rộng lớn bên ngoài băng nguyên - vì sao lại trở thành Mục Giả của Soliskin mà đến đây?","Tuy nhiên, khí tức trên người hai vị - một vị đến từ Spacetrek Collective trên Cự Kiếm, vị còn lại đến từ thế giới rộng lớn bên ngoài băng nguyên - vì sao lại trở thành Mục Giả của Soliskin mà đến đây?",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_1_1,Main_LahaiRoi_3_2_1_1,你好，打扰了。我是深空联合的莫宁。\n出于工作原因，我需要明确海维夏探测器失控时的情况，以制定维修方案。鉴于探测器失控时，你与琳奈是现场仅有的两位目击者，我希望明天能再找你们回顾一次现场情况。\n如果你愿意赴约，请回复接受即可。,"Hello, I'm Mornye from the Spacetrek Collective.\nSorry to bother you, but I need a clear report on what happened during the Hyvatia Detector's failure, so I can lead a repair plan. Since you and Lynae were the only witnesses on-site, I'd like to meet with both of you tomorrow.\nIf you're willing, please respond with ""I accept.""",こんにちは、お邪魔します。スペーストレック・コレクティブのモーニエです。\n仕事の都合で、ハイヴェイシャ探査機が制御不能になった時の様子を把握して、修理案を作成する必要が出てきました。明日、{PlayerName}{Male=君;Female=さん}とリンネーさんの二人に現場の様子を聞かせてもらえないでしょうか？\n協力してもらえると助かります。,"Chào cậu, xin lỗi vì đã làm phiền. Tôi là Mornye của Liên Minh Vũ Trụ.\nVì lý do công việc, tôi cần nắm rõ tình hình lúc Máy dò Hyvatia (Máy dò Hyvatia) Mất kiểm soát, để lập phương án sửa chữa (Hồi Phục). Vì lúc đó cậu và Lynae là hai người duy nhất có mặt tại hiện trường, tôi hy vọng (Nguyện) ngày mai có thể gặp lại hai người để cùng nhau hồi tưởng lại tình hình hiện trường.\nNếu cậu sẵn lòng đến gặp, hãy hồi đáp ""chấp nhận"" là được.","Chào cậu, xin lỗi vì đã làm phiền. Tôi là Mornye của Spacetrek Collective.\nVì lý do công việc, tôi cần nắm rõ tình hình lúc Máy dò Hyvatia Mất kiểm soát, để lập phương án sửa chữa. Vì lúc đó cậu và Lynae là hai người duy nhất có mặt tại hiện trường, tôi hy vọng ngày mai có thể gặp lại hai người để cùng nhau hồi tưởng lại tình hình hiện trường.\nNếu cậu sẵn lòng đến gặp, hãy hồi đáp ""chấp nhận"" là được.","Chào cậu, xin lỗi vì đã làm phiền. Tôi là Mornye của Spacetrek Collective.\nVì lý do công việc, tôi cần nắm rõ tình hình lúc Máy dò Hyvatia Mất kiểm soát, để lập phương án sửa chữa. Vì lúc đó cậu và Lynae là hai người duy nhất có mặt tại hiện trường, tôi hy vọng ngày mai có thể gặp lại hai người để cùng nhau hồi tưởng lại tình hình hiện trường.\nNếu cậu sẵn lòng đến gặp, hãy hồi đáp ""chấp nhận"" là được.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_1_4,Main_LahaiRoi_3_2_1_4,收到。会面地点位于学院宿舍，时间为明天早上9点。届时我也会准时赴约。,Thank you. We'll meet at the Academy dormitory at nine o'clock tomorrow morning. I'll be there on time.,ありがとうございます。学生寮で、朝の9時頃に集合しましょう。,"Đã rõ. Địa điểm gặp mặt tại Ký Túc Xá Học Viện (Học Viện; Ký túc xá), thời gian là 9 giờ sáng mai. Đến lúc đó tôi cũng sẽ có mặt đúng giờ.","Đã rõ. Địa điểm gặp mặt tại Ký túc xá Học viện, thời gian là 9 giờ sáng mai. Đến lúc đó tôi cũng sẽ có mặt đúng giờ.","Đã rõ. Địa điểm gặp mặt tại Ký túc xá Học viện, thời gian là 9 giờ sáng mai. Đến lúc đó tôi cũng sẽ có mặt đúng giờ.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_1_6,Main_LahaiRoi_3_2_1_6,星炬学院的虚诞虫袭击一事，你有受伤吗？如果再次遇到频率方面的问题，可以随时来深空联合处理。我会接待你。,"During the Voidworm's attack on Startorch Academy, were you injured? If you experience any frequency issues again, we can help. I'll handle your case myself.",ヴォイドワーム襲撃事件で、怪我をしませんでしたか？もし周波数に異常があった場合は、いつでもコレクティブに来てください。私が対応します。,"Trong vụ Sâu Hư Không Tấn công Học viện Startorch (Tinh Cự; Học Viện), cậu có bị thương không? Nếu lại gặp phải vấn đề về Tần Số, có thể đến Liên Minh Vũ Trụ để xử lý bất cứ lúc nào. Tôi sẽ tiếp đón cậu.","Trong vụ Sâu Hư Không Tấn công Học viện Startorch, cậu có bị thương không? Nếu lại gặp phải vấn đề về Tần số, có thể đến Spacetrek Collective để xử lý bất cứ lúc nào. Tôi sẽ tiếp đón cậu.","Trong vụ Sâu Hư Không Tấn công Học viện Startorch, cậu có bị thương không? Nếu lại gặp phải vấn đề về Tần số, có thể đến Spacetrek Collective để xử lý bất cứ lúc nào. Tôi sẽ tiếp đón cậu.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_1_7,Main_LahaiRoi_3_2_1_7,我没有受伤，频率流失的问题也暂时停止了，谢谢你的关心。,"I'm fine. The frequency loss has stopped for now, but I appreciate you checking in.",{Male=大丈夫だ、周波数の流出も今のところは止まってる。ありがとう。;Female=大丈夫、周波数の流出も今のところは止まってる。ありがとう。},"Tôi không bị thương, vấn đề Mất Tần Số (Tần Số) cũng tạm thời dừng lại rồi, cảm ơn cậu đã quan Tâm.","Tôi không bị thương, vấn đề Mất Tần số cũng tạm thời dừng lại rồi, cảm ơn cậu đã quan tâm.","Tôi không bị thương, vấn đề Mất Tần số cũng tạm thời dừng lại rồi, cảm ơn cậu đã quan tâm.",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
part03,lang_multi_text.db||MultiText||Main_LahaiRoi_3_2_1_9,Main_LahaiRoi_3_2_1_9,会面的时候，可以带一些深空联合的特色食物吗？,Would it be possible to bring some delicious Spacetrek snacks to the meeting?,{Male=明日、コレクティブの美味しい食べ物を持ってきてもらえないか？;Female=明日、コレクティブの美味しい食べ物を持ってきてもらえない？},"Lúc gặp mặt, cậu có thể mang theo một ít thức ăn đặc sản của Liên Minh Vũ Trụ không?","Lúc gặp mặt, cậu có thể mang theo một ít thức ăn đặc sản của Spacetrek Collective không?","Lúc gặp mặt, cậu có thể mang theo một ít thức ăn đặc sản của Spacetrek Collective không?",QC đồng bộ xuyên part: tên/thuật ngữ/casing/voice theo source và khóa dự án.
