Tiếng Trung (CN),Tiếng Việt chuẩn (VI),Tiếng Anh (EN),Bản dịch phụ (Alt),Từ cấm dùng,Ghi chú
{PlayerName}＆赞妮,{PlayerName} & Zanni,,,,tên riêng (tự điền)
{message},{message},,,,tên riêng (tự điền)
{message}“模范岩蛛”,"{message}""Nhện Đá Kiểu Mẫu""",,,,tên riêng (tự điền)
{message}七丘,{message}Septimont,,,,tên riêng (tự điền)
{message}不明发信人,{message}Người gửi không rõ,,,,tên riêng (tự điền)
{message}丹瑾,{message}Danjin,,,,tên riêng (tự điền)
{message}丽贝卡,{message}Rebecca,,,,tên riêng (tự điền)
{message}久梧,{message}Jiuwu,,,,tên riêng (tự điền)
{message}仇远,{message}Cừu Viễn,,,,tên riêng (tự điền)
{message}今州,{message}Jinzhou,,,,tên riêng (tự điền)
{message}今汐,{message}Jinhsi,,,,tên riêng (tự điền)
{message}光年视界,{message}Light Year Vision,,,,tên riêng (tự điền)
{message}军策府,{message}Quân Sách Phủ,,,,tên riêng (tự điền)
{message}匿名,{message}Ẩn Danh,,,,tên riêng (tự điền)
{message}千咲,{message}Chisa,,,,tên riêng (tự điền)
{message}卡提希娅,{message}Cartethyia,,,,tên riêng (tự điền)
{message}卫宁,{message}Weining,,,,tên riêng (tự điền)
{message}厄姆,{message}Erm,,,,tên riêng (tự điền)
{message}哈丽雅特,{message}Harriet,,,,tên riêng (tự điền)
{message}嘉贝莉娜,{message}Galbrena,,,,tên riêng (tự điền)
{message}坎特蕾拉,{message}Cantarella,,,,tên riêng (tự điền)
{message}基恩,{message}Zeon,,,,tên riêng (tự điền)
{message}塞维,{message}Sevi,,,,tên riêng (tự điền)
{message}多蕾,{message}Dari,,,,tên riêng (tự điền)
{message}奥古斯塔,{message}Augusta,,,,tên riêng (tự điền)
{message}奥维德,{message}Ovid,,,,tên riêng (tự điền)
{message}娜斯塔霞,{message}Nastasia,,,,tên riêng (tự điền)
{message}娜碧,{message}Nabi,,,,tên riêng (tự điền)
{message}学生会长,{message}Hội Trưởng Hội Học Sinh,,,,tên riêng (tự điền)
{message}学院快讯,{message}Bản Tin Học Viện,,,,tên riêng (tự điền)
{message}守岸人,{message}Shorekeeper,,,,tên riêng (tự điền)
{message}安切洛,{message}Ancelo,,,,tên riêng (tự điền)
{message}安瑟姆,{message}Anselm,,,,tên riêng (tự điền)
{message}小玉,{message}Jadie,,,,tên riêng (tự điền)
{message}尤诺,{message}Iuno,,,,tên riêng (tự điền)
{message}巡方使,{message}Tuần Phương Sứ,,,,tên riêng (tự điền)
{message}库拉吉,{message}Kuraji,,,,tên riêng (tự điền)
{message}德莉珐,{message}Delifa,,,,tên riêng (tự điền)
{message}忌炎,{message}Jiyan,,,,tên riêng (tự điền)
{message}思澜,{message}Silan,,,,tên riêng (tự điền)
{message}惠勒,{message}Wheeler,,,,tên riêng (tự điền)
{message}扎希拉,{message}Zahira,,,,tên riêng (tự điền)
{message}执法中枢,{message}Trung Khu Chấp Pháp,,,,tên riêng (tự điền)
{message}拉古那,{message}Laguna,,,,tên riêng (tự điền)
{message}拉科萨,{message}Lakosa,,,,tên riêng (tự điền)
{message}敏娜,{message}Mina,,,,tên riêng (tự điền)
{message}斯卡维兹,{message}Skavitz,,,,tên riêng (tự điền)
{message}斯特劳瑟,{message}Strauss,,,,tên riêng (tự điền)
{message}明慎台,{message}Minh Thận Đài,,,,tên riêng (tự điền)
{message}星炬学院,{message}Học viện Startorch,,,,tên riêng (tự điền)
{message}景燃,{message}Jingran,,,,tên riêng (tự điền)
{message}未知信号,{message}Tín hiệu chưa xác định,,,,tên riêng (tự điền)
{message}未知机傀信号,{message}Tín Hiệu Cơ Khôi Không Xác Định,,,,tên riêng (tự điền)
{message}未知联系人,{message}Người Liên Lạc Không Rõ,,,,tên riêng (tự điền)
{message}极地科考站,{message}Trạm Khảo Sát Khoa Học Cực Địa,,,,tên riêng (tự điền)
{message}枕流,{message}Zhenliu,,,,tên riêng (tự điền)
{message}格雷厄姆,{message}Graham,,,,tên riêng (tự điền)
{message}梦州·玄方城,{message}Mộng Châu · Huyền Phương Thành,,,,tên riêng (tự điền)
{message}沃斯,{message}Vos,,,,tên riêng (tự điền)
{message}法芙娜,{message}Fafnir,,,,tên riêng (tự điền)
{message}泽纳斯,{message}Zenas,,,,tên riêng (tự điền)
{message}洛倾,{message}Luoqing,,,,tên riêng (tự điền)
{message}洛瑟拉,{message}Lucilla,,,,tên riêng (tự điền)
{message}洛瑟菈,{message}Lucilla,,,,tên riêng (tự điền)
{message}深空联合,{message}Liên Hợp Deep Space,,,,tên riêng (tự điền)
{message}清宵,{message}Qingxiao,,,,tên riêng (tự điền)
{message}灯灯,{message}Lumi,,,,tên riêng (tự điền)
{message}炽霞,{message}Chixia,,,,tên riêng (tự điền)
{message}爱弥斯,{message}Aemeath,,,,tên riêng (tự điền)
{message}特雷弗,{message}Trevor,,,,tên riêng (tự điền)
{message}玄方·军策府,{message}Huyền Phương · Quân Sách Phủ,,,,tên riêng (tự điền)
{message}玄方·天工部,{message}Huyền Phương·Bộ Thiên Công,,,,tên riêng (tự điền)
{message}玛嘉,{message}Marga,,,,tên riêng (tự điền)
{message}珂莱塔,{message}Carlotta,,,,tên riêng (tự điền)
{message}琳奈,{message}Linnae,,,,tên riêng (tự điền)
{message}琳妮娅,{message}Linnea,,,,tên riêng (tự điền)
{message}瓦莲京娜,{message}Valentina,,,,tên riêng (tự điền)
{message}甲大王,{message}King Auto,,,,tên riêng (tự điền)
{message}白色守门人,{message}Người Gác Cổng Trắng,,,,tên riêng (tự điền)
{message}白芷,{message}Baizhi,,,,tên riêng (tự điền)
{message}皮尔斯,{message}Pierce,,,,tên riêng (tự điền)
{message}真夜,{message}Mayo,,,,tên riêng (tự điền)
{message}矜,{message}Jin,,,,tên riêng (tự điền)
{message}秋水,{message}Thu Thủy,,,,tên riêng (tự điền)
{message}秋鸿,{message}Qiuhong,,,,tên riêng (tự điền)
{message}科蒂,{message}Coty,,,,tên riêng (tự điền)
{message}秧秧,{message}Yangyang,,,,tên riêng (tự điền)
{message}秧秧·玄翎,{message}Yangyang: Xuanling,,,,tên riêng (tự điền)
{message}穗穗,{message}Suisui,,,,tên riêng (tự điền)
{message}米洛,{message}Milo,,,,tên riêng (tự điền)
{message}米莎,{message}Misha,,,,tên riêng (tự điền)
{message}素玙,{message}Tố Dư,,,,tên riêng (tự điền)
{message}索尼娅,{message}Sonija,,,,tên riêng (tự điền)
{message}约兰,{message}Yoran,,,,tên riêng (tự điền)
{message}绯雪,{message}Phỉ <ano=Snow>Tuyết</ano>,,,,tên riêng (tự điền)
{message}维扬,{message}Weiyang,,,,tên riêng (tự điền)
{message}罗南,{message}Ronan,,,,tên riêng (tự điền)
{message}若云,{message}Ruoyun,,,,tên riêng (tự điền)
{message}莫宁,{message}Mornye,,,,tên riêng (tự điền)
{message}莫特斐,{message}Mortefi,,,,tên riêng (tự điền)
{message}萨迦,{message}Sakya,,,,tên riêng (tự điền)
{message}西格莉卡,{message}Sigrika,,,,tên riêng (tự điền)
{message}贝托尔特,{message}Bertolt,,,,tên riêng (tự điền)
{message}赞妮,{message}Zani,,,,tên riêng (tự điền)
{message}长离,{message}Changli,,,,tên riêng (tự điền)
{message}阿尔塞尼,{message}Arsenio,,,,tên riêng (tự điền)
{message}阿尼科,{message}Aniko,,,,tên riêng (tự điền)
{message}阿里曼,{message}Ahriman,,,,tên riêng (tự điền)
{message}陆·赫斯,{message}Luuk Herssen,,,,tên riêng (tự điền)
{message}陆赫斯,{message}Lu Hess,,,,tên riêng (tự điền)
{message}雷纳托,{message}Renato,,,,tên riêng (tự điền)
{message}露西,{message}Lucy,,,,tên riêng (tự điền)
{message}麦克纳提,{message}McNulty,,,,tên riêng (tự điền)
{message}黎那汐塔,{message}Rinascita,,,,tên riêng (tự điền)
{message}黑海岸,{message}Bờ Biển Đen,,,,tên riêng (tự điền)
{message}？？？,{message}???,,,,tên riêng (tự điền)
“4”,"""4""",,,,tên riêng (tự điền)
“一刀千里”莫四给,“Nhất Đao Thiên Lý” Mạc Tứ Cấp,,,,tên riêng (tự điền)
“不锈的锋刃”,"""Lưỡi Sắc Bất Hoen Gỉ""",,,,tên riêng (tự điền)
“世界上另一个大吾”,"""Một Daigo Khác Trên Thế Giới""",,,,tên riêng (tự điền)
“严谨”的研究员,"Nghiên Cứu Viên ""Nghiêm Túc""",,,,tên riêng (tự điền)
“中年人”,"""Người Trung Niên""",,,,tên riêng (tự điền)
“丰碑”,"""Phong Bi""",,,,tên riêng (tự điền)
“丽亚”,"""Lia""",,,,tên riêng (tự điền)
“乌獭獭”,"""Rái Cá Đen""",,,,tên riêng (tự điền)
“乐观”的研究员,"Nghiên Cứu Viên ""Lạc Quan""",,,,tên riêng (tự điền)
“书房女孩”,"""Cô Gái Thư Phòng""",,,,tên riêng (tự điền)
“买家”丙,"""Người Mua"" C",,,,tên riêng (tự điền)
“买家”乙,"""Người Mua"" B",,,,tên riêng (tự điền)
“买家”甲,"""Người Mua"" A",,,,tên riêng (tự điền)
“云朵小妖”,"""Tiểu Yêu Mây""",,,,tên riêng (tự điền)
“交易人”,"""Người Giao Dịch""",,,,tên riêng (tự điền)
“交通宝”,"""Báu vật giao thông""",,,,tên riêng (tự điền)
“低语”,"""Tiếng Thì Thầm""",,,,tên riêng (tự điền)
“佩洛”,100%,,,,tên riêng (tự điền)
“克莱尔的信”,"""Thư của Claire""",,,,tên riêng (tự điền)
“冷静的角斗士”,"""Đấu Sĩ Bình Tĩnh""",,,,tên riêng (tự điền)
“准时宝”,"""Đúng Giờ""",,,,tên riêng (tự điền)
“凝珍藏物”,“Ngưng Trân Tàng Vật”,,,,tên riêng (tự điền)
“劫后余生的乌獭獭”,"""Rái Cá Đen Thoát Nạn""",,,,tên riêng (tự điền)
“劫后余生的呜獭獭”,"""Ư Thát Thát Thoát Nạn""",,,,tên riêng (tự điền)
“千机老人”小贝,“Lão Nhân Thiên Cơ” Tiểu Bối,,,,tên riêng (tự điền)
“发条”,9,,,,tên riêng (tự điền)
“同伴”,"""Đồng Bạn""",,,,tên riêng (tự điền)
“后窗”,Xóa,,,,tên riêng (tự điền)
“呜多多”,"""Wootter""",,,,tên riêng (tự điền)
“呜娜娜”,"""Woona""",,,,tên riêng (tự điền)
“呜獭獭”,"""Ư Thát Thát""",,,,tên riêng (tự điền)
“呼姆”,"""Phaom""",,,,tên riêng (tự điền)
“咕头兽尊”,“Thú Tôn Cốc Đầu”,,,,tên riêng (tự điền)
“商业街的王者”,"""Vương Giả Của Phố Thương Mại""",,,,tên riêng (tự điền)
“商队伙计”,“Người Làm Đoàn Buôn”,,,,tên riêng (tự điền)
“园丁”,"""Người Làm Vườn""",,,,tên riêng (tự điền)
“埃斯克勒斯”,"""Aeschylus""",,,,tên riêng (tự điền)
“塔洛斯”,"""Talos""",,,,tên riêng (tự điền)
“墨丘利机”,"""Máy Mercury""",,,,tên riêng (tự điền)
“声音”,"""Âm thanh""",,,,tên riêng (tự điền)
“夏空”,"""Bầu Trời Hạ""",,,,tên riêng (tự điền)
“多妮斯”,"""Donnis""",,,,tên riêng (tự điền)
“多萝西”,"""Dorothy""",,,,tên riêng (tự điền)
“多萝西？”,"""Dorothy?""",,,,tên riêng (tự điền)
“大个头”,"""Gã Bự Con""",,,,tên riêng (tự điền)
“大出血”途早,“Đại Xuất Huyết” Đồ Tảo,,,,tên riêng (tự điền)
“大布偶”,"""Gấu Bông Lớn""",,,,tên riêng (tự điền)
“大钢牙”,"""Đại Thiết Nha""",,,,tên riêng (tự điền)
“安全宝”,"""Báu vật an toàn""",,,,tên riêng (tự điền)
“寂寞小姐”,"""Tiểu Thư Cô Đơn""",,,,tên riêng (tự điền)
“寻齿犬”,Xóa,,,,tên riêng (tự điền)
“导师”,"""Người Cố Vấn""",,,,tên riêng (tự điền)
“小不点”,"""Nhóc Tì""",,,,tên riêng (tự điền)
“小女孩”,"""Cô Bé""",,,,tên riêng (tự điền)
“小家伙”,"""Nhóc Con""",,,,tên riêng (tự điền)
“小老板”,“Ông chủ nhỏ”,,,,tên riêng (tự điền)
“小蓝”,666,,,,tên riêng (tự điền)
“少女”,"""Thiếu Nữ""",,,,tên riêng (tự điền)
“尖头兽尊”,“Thú Tôn Nhọn Đầu”,,,,tên riêng (tự điền)
“山桃”,"""Sơn Đào""",,,,tên riêng (tự điền)
“布偶小队”,"""Đội Gấu Bông""",,,,tên riêng (tự điền)
“布利斯”,"""Bliss""",,,,tên riêng (tự điền)
“年轻人”,"""Chàng Trai Trẻ""",,,,tên riêng (tự điền)
“年长的女教士”,"""Nữ giáo sĩ lớn tuổi""",,,,tên riêng (tự điền)
“弗朗西斯”,"""Francesco""",,,,tên riêng (tự điền)
“弗洛洛”,"""Phrolova""",,,,tên riêng (tự điền)
“往人？”,"""<ano=Left Behind>Vãng Nhân</ano>?""",,,,tên riêng (tự điền)
“心底的声音”,"""Tiếng Nói Từ Đáy Lòng""",,,,tên riêng (tự điền)
“心狐之友”,“Bạn của Tâm Hồ”,,,,tên riêng (tự điền)
“怀特”,"""White""",,,,tên riêng (tự điền)
“怀疑的教士”,"""Giáo Sĩ Đa Nghi""",,,,tên riêng (tự điền)
“急切的市民”,"""Người Dân Nôn Nóng""",,,,tên riêng (tự điền)
“急切的平民”,"""Dân Thường Vội Vã""",,,,tên riêng (tự điền)
“惊恐的乌獭獭”,"""Rái Cá Đen Hoảng Sợ""",,,,tên riêng (tự điền)
“惊恐的呜獭獭”,"""Ư Thát Thát Hoảng Sợ""",,,,tên riêng (tự điền)
“感激的乌獭獭”,"""Rái Cá Đen Biết Ơn""",,,,tên riêng (tự điền)
“感激的呜獭獭”,"""Ư Thát Thát Biết Ơn""",,,,tên riêng (tự điền)
“打工少女”,"""Thiếu Nữ Làm Thêm""",,,,tên riêng (tự điền)
“拉拉罗娜”,Xóa,,,,tên riêng (tự điền)
“拘谨”的研究员,"Nghiên Cứu Viên ""Rụt Rè""",,,,tên riêng (tự điền)
“改命师”,“Cải Mệnh Sư”,,,,tên riêng (tự điền)
“故障心傀”,“Tâm Khôi Trục Trặc”,,,,tên riêng (tự điền)
“新鲜的”星核,x999,"""Fresh"" Tacecrux",,,tên riêng (tự điền)
“无头兽尊”,“Thú Tôn Không Đầu”,,,,tên riêng (tự điền)
“明虎”,Lv.2,,,,tên riêng (tự điền)
“星尘”,"""Bụi Sao""",,,,tên riêng (tự điền)
“杀手”泰冷,“Sát Thủ” Thái Lãnh,,,,tên riêng (tự điền)
“杜松子”,9,,,,tên riêng (tự điền)
“极限压弯者”,“Kẻ Bẻ Cong Cực Hạn”,,,,tên riêng (tự điền)
“模范岩蛛”,"""Nhện Đá Kiểu Mẫu""",,,,tên riêng (tự điền)
“毒蛇”,"""Độc Xà""",,,,tên riêng (tự điền)
“民间艺术家”,“Nghệ sĩ dân gian”,,,,tên riêng (tự điền)
“洛可可”,"""Rococo""",,,,tên riêng (tự điền)
“洞中的日灵”,"""Nhật Linh Trong Hang""",,,,tên riêng (tự điền)
“浴缸狗”,"""Chó Bồn Tắm""",,,,tên riêng (tự điền)
“清洁工”,"""Người Quét Dọn""",,,,tên riêng (tự điền)
“渊中仙”,“Uyên Trung Tiên”,,,,tên riêng (tự điền)
“渊中鲜”,“Uyên Trung Tiên”,,,,tên riêng (tự điền)
“漂泊者”,"""Lữ Khách""",,,,tên riêng (tự điền)
“灯头兽尊”,“Thú Tôn Đèn Đầu”,,,,tên riêng (tự điền)
“炽霞”,“Chixia”,,,,tên riêng (tự điền)
“焙焙”,"""Beibei""",,,,tên riêng (tự điền)
“焦灼的贵族”,"""Quý Tộc Lo Lắng""",,,,tên riêng (tự điền)
“父亲”,"""Cha""",,,,tên riêng (tự điền)
“牧羊犬”,"""<ano=Sheepdog>Chó Chăn Cừu</ano>""",,,,tên riêng (tự điền)
“特莉丝”,"""Tris""",,,,tên riêng (tự điền)
“珂莱塔”,"""Cloretta""",,,,tên riêng (tự điền)
“看话剧”,-100,,,,tên riêng (tự điền)
“看话剧”（翻译）,"""Xem Kịch"" (Dịch)",,,,tên riêng (tự điền)
“祂”的低语,"Lời Thì Thầm Của ""Ngài""",,,,tên riêng (tự điền)
“科波拉”,"""Capollo""",,,,tên riêng (tự điền)
“管理人”,"""Người Quản Lý""",,,,tên riêng (tự điền)
“米斯汀”,"""Mistin""",,,,tên riêng (tự điền)
“约书亚”,"""Joshua""",,,,tên riêng (tự điền)
“织星”,"""Chức Tinh""",,,,tên riêng (tự điền)
“维纶·托卡塔”,"""Veron Toccata""",,,,tên riêng (tự điền)
“罗文”,"""Rowan""",,,,tên riêng (tự điền)
“美宜方”,“Mỹ Nghi Phương”,,,,tên riêng (tự điền)
“老船长”达维德,"""Lão Thuyền Trưởng"" David",,,,tên riêng (tự điền)
“老邓肯”,Xóa,,,,tên riêng (tự điền)
“联络人”,"""<ano=Contact>Người Liên Lạc</ano>""",,,,tên riêng (tự điền)
“苞头兽尊”,“Thú Tôn Búp Đầu”,,,,tên riêng (tự điền)
“苦恼的角斗士”,"""Đấu Sĩ Khổ Não""",,,,tên riêng (tự điền)
“英雄戏”,Cường hóa Kỹ năng chủ động Echo,,,,tên riêng (tự điền)
“英雄戏”（翻译）,16,,,,tên riêng (tự điền)
“荣光王”的留言,"Lời Nhắn Của ""Vinh Quang Vương""",,,,tên riêng (tự điền)
“莱特”,"""Light""",,,,tên riêng (tự điền)
“蔓达”,"""Mandra""",,,,tên riêng (tự điền)
“蔚蓝雨”,1,,,,tên riêng (tự điền)
“蕾弗”,"""Lefer""",,,,tên riêng (tự điền)
“行商”,“Hành Thương”,,,,tên riêng (tự điền)
“西莫斯先生”,"""Ngài Simos""",,,,tên riêng (tự điền)
“赤腹鹰”,"""Chim Cắt Bụng Đỏ""",,,,tên riêng (tự điền)
“赫贝”,"""Hebe""",,,,tên riêng (tự điền)
“远征之帜”,"""Ngọn Cờ Viễn Chinh""",,,,tên riêng (tự điền)
“送葬人”,"""Người Đưa Tang""",,,,tên riêng (tự điền)
“逃避”的真心,"Chân Tâm ""Trốn Tránh""",,,,tên riêng (tự điền)
“邹马杂货”,“Tạp Hóa Trâu Mã”,,,,tên riêng (tự điền)
“铁山”,"""Thiết Sơn""",,,,tên riêng (tự điền)
“铲子叔叔”,"""Chú Xẻng""",,,,tên riêng (tự điền)
“镇定的市民”,"""Người Dân Bình Tĩnh""",,,,tên riêng (tự điền)
“附和的教士”,"""Giáo Sĩ Tán Thành""",,,,tên riêng (tự điền)
“随和”的研究员,"Nghiên Cứu Viên ""Dễ Tính""",,,,tên riêng (tự điền)
“驺马杂货”,“Tạp Hóa Sô Mã”,,,,tên riêng (tự điền)
“鬼影”,6,,,,tên riêng (tự điền)
“魔术先生”,"""Ngài Ảo Thuật""",,,,tên riêng (tự điền)
“黑咩”,"""Hắc Miết""",,,,tên riêng (tự điền)
“？？？”,New Text,,,,tên riêng (tự điền)
”4“,"""4""",,,,tên riêng (tự điền)
███的研究员,Nghiên Cứu Viên ███,,,,tên riêng (tự điền)
《写给铭记者的歌》节选,Trích đoạn 《<ano=A Song for the Remembered>Khúc Ca Cho Người Được Ghi Nhớ</ano>》,,,,tên riêng (tự điền)
《剪刀女》,《Người Đàn Bà Cây Kéo》,,,,tên riêng (tự điền)
《回梦中曲三段·石叶泪》,+10%,,,,tên riêng (tự điền)
《左手操作指南》,《<ano=Manual for Left-Handed Users>Hướng Dẫn Vận Hành Bằng Tay Trái</ano>》,"""Manual for Left-Handed Users""",,,tên riêng (tự điền)
《废弃的日志·一》,《Nhật Ký Bị Bỏ Quên · Một》,,,,tên riêng (tự điền)
《废弃的日志·二》,《Nhật Ký Bị Bỏ Quên · Hai》,,,,tên riêng (tự điền)
《悲鸣前往何方》,《Bi Minh Đi Về Nơi Đâu》,,,,tên riêng (tự điền)
《扉页书馆回忆录》,<i>Hồi Ký Thư Quán Trang Bìa</i>,,,,tên riêng (tự điền)
《扉页书馆回忆录》节选,Trích Đoạn 《Hồi Ký Thư Quán Trang Đầu》,,,,tên riêng (tự điền)
《拉海洛观星指南》,《Cẩm Nang Quan Sát Sao Lahai-Roi》,,,,tên riêng (tự điền)
《散落的日志》,《Nhật Ký Rải Rác》,,,,tên riêng (tự điền)
《文艺杂谈》,《Văn Nghệ Tạp Đàm》,,,,tên riêng (tự điền)
《新东春西典·其一》,0,Oriental Springs and Occidental Classics: Part I,,,tên riêng (tự điền)
《新州时事纪要》（部分）,《Kỷ Yếu Thời Sự Tân Châu》 (Trích Đoạn),,,,tên riêng (tự điền)
《新联邦娱乐周刊》,<ano=New Federation Entertainment Weekly>《Tuần San Giải Trí Tân <ano=Federation>Liên Bang</ano>》</ano>,,,,tên riêng (tự điền)
《无名的日志》,"""Nhật Ký Vô Danh""",,,,tên riêng (tự điền)
《时尚搭配指南》,《Cẩm Nang Phối Đồ Thời Trang》,,,,tên riêng (tự điền)
《星炬学院新闻报》,《Báo Tin Tức Học viện Startorch》,,,,tên riêng (tự điền)
《星矩学院新闻报》,《Báo Tin Tức Học Viện Startorch》,,,,tên riêng (tự điền)
《最终日志》,《Nhật Ký Cuối Cùng》,,,,tên riêng (tự điền)
《烈火燎原》节选,"<ano=""Fire in the Wilderness"" Excerpt>Trích đoạn 《Liệt Hỏa Liệu Nguyên》</ano>","""Blazing Prairie"" Excerpts",,,tên riêng (tự điền)
《爱如列车轰隆隆》,"""Tình Yêu Như Chuyến Tàu Ầm Ầm Lao Đi""",,,,tên riêng (tự điền)
《百年信》,《Bức Thư Trăm Năm》,,,,tên riêng (tự điền)
《破冰帮王座》,《Ngai Vàng Băng Đảng Phá Băng》,,,,tên riêng (tự điền)
《科考站日志》,《Nhật Ký Trạm Khảo Sát Khoa Học》,,,,tên riêng (tự điền)
《第一猎人》,《Thợ Săn Đầu Tiên》,,,,tên riêng (tự điền)
《翡萨烈人在阿维纽林》节选,Trích Đoạn 《Người Fisale Tại Avinoleum》,,,,tên riêng (tự điền)
《遗弃的日志》,"""Nhật Ký Bị Vứt Bỏ""",,,,tên riêng (tự điền)
《预言》,《Lời Tiên Tri》,,,,tên riêng (tự điền)
《黄金之歌·诗集》,《Khúc Ca Hoàng Kim · Thi Tập》,,,,tên riêng (tự điền)
「今州书院」老师,Lv.,,,,tên riêng (tự điền)
「伊山」,"""Esson""",,,,tên riêng (tự điền)
「佩洛」,"""Pero""",,,,tên riêng (tự điền)
「先行公约」商店接待员,1,,,,tên riêng (tự điền)
「先行公约」战地记者,Baizhi,,,,tên riêng (tự điền)
「先行公约」接待员,"Tiếp Tân ""Hiệp Ước Tiên Phong""",,,,tên riêng (tự điền)
「六羡茶行」伙计,"Ai Sinh Cô Ương bị thương rồi, <ano=We Are One>chúng ta</ano> mau đuổi theo!",,,,tên riêng (tự điền)
「六羡茶行」掌柜,"Chưởng Quỹ ""Trà Hành Lục Tiện""",,,,tên riêng (tự điền)
「博古盆景」店主,"Baizhi thích nghiên cứu những thứ thuộc về quá khứ, nghiên cứu câu chuyện đằng sau những thứ ấy, những câu chuyện đó đan xen với nhau, tạo thành ""lịch sử"".",,,,tên riêng (tự điền)
「呜呜物流」快递员,"Người Giao Hàng ""Hậu Cần Lollo""",,,,tên riêng (tự điền)
「呜呜物流」领航员,Yangyang,,,,tên riêng (tự điền)
「回魂夜」接引人,"Người dẫn đường ""Đêm Hoàn Hồn""",,,,tên riêng (tự điền)
「在光中完结的故事」,"""Câu Chuyện Kết Thúc Trong Ánh Sáng""",,,,tên riêng (tự điền)
「声骸档案」,"""Hồ Sơ Echo""",,,,tên riêng (tự điền)
「夜归」退役老兵,Yangyang,,,,tên riêng (tự điền)
「天工箓」专员,Chuyên viên 「Thiên Công Lục」,,,,tên riêng (tự điền)
「天帷机兵」,"""Thiên Duy Cơ Binh""",,,,tên riêng (tự điền)
「天椎系统」,"""Hệ Thống Thiên Chùy""",,,,tên riêng (tự điền)
