=== BÁO CÁO CÁC LỖI FORMAT/BIẾN THẬT SỰ CẦN FIX (285 LỖI) ===

@@ lang_confirmbox.db||ConfirmBox||165
@@ lang_multi_text.db||MultiText||LyricsText_750161_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Đường phía trước xa xăm</i>

@@ lang_multi_text.db||MultiText||LyricsText_750162_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Ngày về diệu vợi</i>

@@ lang_multi_text.db||MultiText||LyricsText_750163_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Núi hoang hiu hắt</i>

@@ lang_multi_text.db||MultiText||LyricsText_750164_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Sông không cầu</i>

@@ lang_multi_text.db||MultiText||LyricsText_750165_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Rượu nhà khó nếm</i>

@@ lang_multi_text.db||MultiText||LyricsText_750166_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Tóc nhuốm tuyết sương</i>

@@ lang_multi_text.db||MultiText||LyricsText_750167_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Huyền Linh bay qua sông</i>

@@ lang_multi_text.db||MultiText||LyricsText_750168_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Nước mênh mông núi mịt mờ</i>

@@ lang_multi_text.db||MultiText||LyricsText_750169_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Ánh trăng sáng, trăng soi bóng dài</i>

@@ lang_multi_text.db||MultiText||LyricsText_750170_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Trong bốn bể truyền khắp muôn phương</i>

@@ lang_multi_text.db||MultiText||LyricsText_750171_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Gọi người chớ lãng quên</i>

@@ lang_multi_text.db||MultiText||LyricsText_750172_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Huyền Linh bay, bay đứt ruột</i>

@@ lang_multi_text.db||MultiText||LyricsText_750173_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Trời xanh thẳm</i>

@@ lang_multi_text.db||MultiText||LyricsText_750174_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Huyền Linh bay, bay đứt ruột</i>

@@ lang_multi_text.db||MultiText||LyricsText_750175_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Trời xanh thẳm đất bao la</i>

@@ lang_multi_text.db||MultiText||LyricsText_750176_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Ánh trăng sáng</i>

@@ lang_multi_text.db||MultiText||LyricsText_750177_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Đêm lạnh dằng dặc</i>

@@ lang_multi_text.db||MultiText||LyricsText_750178_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Trong bốn bể truyền khắp muôn phương</i>

@@ lang_multi_text.db||MultiText||LyricsText_750179_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Gọi cha gọi mẹ, ngàn vạn lần chớ ngóng trông</i>

@@ lang_multi_text.db||MultiText||LyricsText_750180_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Sóng nước cuồn cuộn</i>

@@ lang_multi_text.db||MultiText||LyricsText_750181_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Sương mù che đường</i>

@@ lang_multi_text.db||MultiText||LyricsText_750182_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Đường phía trước xa xăm</i>

@@ lang_multi_text.db||MultiText||LyricsText_750183_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Ngày về diệu vợi</i>

@@ lang_multi_text.db||MultiText||LyricsText_750184_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Núi hoang hiu hắt</i>

@@ lang_multi_text.db||MultiText||LyricsText_750185_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Sông không cầu</i>

@@ lang_multi_text.db||MultiText||LyricsText_750186_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Rượu nhà khó nếm</i>

@@ lang_multi_text.db||MultiText||LyricsText_750187_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Tóc nhuốm tuyết sương</i>

@@ lang_multi_text.db||MultiText||LyricsText_750188_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Gọi chim linh, chớ ngóng, chớ quên</i>

@@ lang_multi_text.db||MultiText||LyricsText_750189_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Hồn phách dạt, gió dài mãi</i>

@@ lang_multi_text.db||MultiText||LyricsText_750190_Original
# Lỗi: Thiếu/thừa biến: Gốc có ['{KeepOrigin}'] nhưng Dịch có []
# Gốc Trung: {KeepOrigin}
# Hiện tại : <i>Đợi đến đêm thu lạnh, đưa ta về cố hương</i>

@@ lang_multi_text.db||MultiText||KurotatoProperty_desc_2
# Lỗi: Thiếu/thừa biến: Gốc có ['{0}'] nhưng Dịch có []
# Gốc Trung: 角色的最大生命，每波次开始时角色将回复全部生命。（下限值：{0}）
# Hiện tại : Sinh Lực tối đa của nhân vật, khi mỗi đợt bắt đầu nhân vật sẽ hồi phục toàn bộ sinh mệnh.

@@ lang_multi_text.db||MultiText||KurotatoProperty_desc_142
# Lỗi: Thiếu/thừa biến: Gốc có ['{0}'] nhưng Dịch có []
# Gốc Trung: 角色每隔一段时间将根据自动回复属性来回复一定生命。（下限值：{0}）
# Hiện tại : Cứ sau một khoảng thời gian, nhân vật sẽ hồi phục một lượng sinh mệnh nhất định dựa theo thuộc tính Tự Động Hồi Phục.

@@ lang_multi_text.db||MultiText||KurotatoProperty_desc_10
# Lỗi: Thiếu/thừa biến: Gốc có ['{0}'] nhưng Dịch có []
# Gốc Trung: 减少角色受到的伤害。（下限值：{0}）
# Hiện tại : Giảm sát thương nhân vật phải chịu.

@@ lang_multi_text.db||MultiText||KurotatoProperty_desc_190
# Lỗi: Thiếu/thừa biến: Gốc có ['{0}', '{1}'] nhưng Dịch có []
# Gốc Trung: 角色当前相较基础移动速度的比例。（上限值：{0}，下限值：{1}）
# Hiện tại : Tỉ lệ tốc độ di chuyển hiện tại của nhân vật so với tốc độ di chuyển cơ bản.

@@ lang_multi_text.db||MultiText||KurotatoProperty_desc_146
# Lỗi: Thiếu/thừa biến: Gốc có ['{0}'] nhưng Dịch có []
# Gốc Trung: 角色受到伤害时免疫此次伤害的概率。（上限值：{0}）
# Hiện tại : Xác suất nhân vật miễn nhiễm đòn sát thương này khi nhận sát thương, tối đa 80% xác suất.

@@ lang_multi_text.db||MultiText||Event_THCQDYBF_35_14
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}'] nhưng Dịch có []
# Gốc Trung: 信中说，他在今州偶遇奇人。和{TA}坐而论道后，顿觉技艺不精，再看占书已经味同嚼蜡。
# Hiện tại : Trong thư có nói, ông ấy ở Kim Châu tình cờ gặp được một kỳ nhân. Sau khi cùng {Male=ngài ấy;Female=bà ấy} đàm đạo, ông bỗng cảm thấy kỹ thuật của mình chưa tinh, đọc lại sách bói cũng nhạt như nhai sáp.

@@ lang_multi_text.db||MultiText||Event_THCQDYBF_5_20
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}', '{TA}'] nhưng Dịch có []
# Gốc Trung: （……等下次见到{TA}的时候……再向{TA}道谢吧。）
# Hiện tại : (...Lần sau gặp lại {Male=anh ấy;Female=cô ấy}... mình sẽ nói lời cảm ơn với người đó vậy.)

@@ lang_multi_text.db||MultiText||Chengxiaoshan_main_1_1_215_2
# Lỗi: Thiếu/thừa biến: Gốc có ['{PlayerName}', '{TA}'] nhưng Dịch có ['{PlayerName}']
# Gốc Trung: 放心吧，{PlayerName}身怀殊异，乘霄山的时间乱流未伤及{TA}分毫。
# Hiện tại : Yên tâm đi, {PlayerName} mang theo điều khác biệt, Dòng thời gian hỗn loạn của Núi Thừa Tiêu không hề làm tổn hại đến {Male=cậu ấy;Female=cậu ấy} chút nào.

@@ lang_multi_text.db||MultiText||Chengxiaoshan_main_1_1_215_11
# Lỗi: Thiếu/thừa biến: Gốc có ['{PlayerName}', '{TA}'] nhưng Dịch có ['{PlayerName}']
# Gốc Trung: 在随我来乘霄山之前，{PlayerName}做了一个古怪的梦，或者说，{TA}看到了曾经遗失的记忆碎片。
# Hiện tại : Trước khi theo tôi đến Núi Thừa Tiêu, {PlayerName} đã có một giấc mơ kỳ lạ mà {Male=cậu ấy;Female=cô ấy} kể lại, hay nói chính xác hơn, {Male=cậu ấy;Female=cô ấy} đã nhìn thấy những mảnh ký ức từng bị thất lạc.

@@ lang_multi_text.db||MultiText||Side_CFYW_12_3
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}'] nhưng Dịch có []
# Gốc Trung: 你疯了吗？这家伙可是漂泊者！别说我们了，就算伤痕大人也不是{TA}的对手！
# Hiện tại : Ngươi điên rồi à? Tên này là Lữ Khách đấy! Đừng nói là bọn ta, ngay cả ngài Vết Thương cũng không phải đối thủ của {Male=anh ta;Female=cô ta}!

@@ lang_multi_text.db||MultiText||Character_ChangLi_62_35
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}'] nhưng Dịch có []
# Gốc Trung: 师父离去之后，{TA}便是唯一能够开启蜃境的人。现在，你应该已经知道故事中另一个人究竟是谁了。
# Hiện tại : Sau khi sư phụ rời đi, {Male=anh ấy;Female=cô ấy} chính là người duy nhất có thể mở Ảo Cảnh. Bây giờ, hẳn cậu đã biết {Male=anh ấy;Female=cô ấy} là người còn lại trong câu chuyện rốt cuộc là ai rồi.

@@ lang_multi_text.db||MultiText||Chengxiaoshan_main_1_1_1_2_19
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}'] nhưng Dịch có []
# Gốc Trung: 哈？这种事情我怎么知道……不对，你怎么不直接问{TA}？
# Hiện tại : Hả? Chuyện này thì tớ làm sao mà biết được... À không, sao cậu không hỏi thẳng {Male=anh ấy;Female=cô ấy} luôn đi?

@@ lang_multi_text.db||MultiText||Chengxiaoshan_main_1_1_1_2_22
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}'] nhưng Dịch có []
# Gốc Trung: 对嘛对嘛，很明显，你是{TA}在失忆之前吸收的，只能从你这找找线索了。
# Hiện tại : Đúng rồi. Rõ ràng cậu đã bị {Male=cậu ấy;Female=cậu ấy} hấp thụ trước khi Lữ Khách mất trí nhớ, nên bọn tớ chỉ có thể tìm manh mối từ phía cậu thôi.

@@ lang_multi_text.db||MultiText||Chengxiaoshan_main_1_1_1_4_16
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}'] nhưng Dịch có []
# Gốc Trung: 那当然，都说了我很强，肯定要护着{TA}嘛。
# Hiện tại : Đương nhiên rồi, đã nói tớ rất mạnh, chắc chắn phải bảo vệ {Male=cậu ấy;Female=cô ấy} chứ.

@@ lang_multi_text.db||MultiText||Chengxiaoshan_main_1_1_1_4_24
# Lỗi: Thiếu/thừa biến: Gốc có ['{PlayerName}', '{PlayerName}', '{TA}'] nhưng Dịch có ['{PlayerName}', '{PlayerName}']
# Gốc Trung: 的确，阿布现在如同{PlayerName}的秘密武器，不能脱离{TA}单独存在，我们总不好因为这个限制了{PlayerName}的行动。
# Hiện tại : Đúng vậy, Abby bây giờ chẳng khác nào vũ khí bí mật của {PlayerName}, không thể tách khỏi {PlayerName} mà tồn tại độc lập, nhưng chúng ta cũng không thể vì chuyện này mà giam giữ {Male=cậu ấy;Female=cô ấy} lại để nghiên cứu được.

@@ lang_multi_text.db||MultiText||Character_Encore_1_4
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}'] nhưng Dịch có []
# Gốc Trung: 现在安可还在等一个好朋友呢，啊，{TA}到了！
# Hiện tại : Bây giờ An Khả còn đang chờ một người thân thiết nữa, à, {Male=anh ấy;Female=chị ấy} tới rồi!

@@ lang_multi_text.db||MultiText||Character_Encore_1_21
# Lỗi: Thiếu/thừa biến: Gốc có ['{PlayerName}', '{TA}'] nhưng Dịch có ['{PlayerName}']
# Gốc Trung: 大家快来，我来隆重介绍！这是{PlayerName}，{TA}可是守护了今州的大英雄！
# Hiện tại : Mọi người mau đến đây, An Khả xin trịnh trọng giới thiệu! Đây là {PlayerName}, {Male=anh ấy;Female=chị ấy} chính là vị đại anh hùng đã bảo vệ Kim Châu đó!

@@ lang_multi_text.db||MultiText||Character_Encore_18_3
# Lỗi: Thiếu/thừa biến: Gốc có ['{PlayerName}', '{TA}'] nhưng Dịch có ['{PlayerName}']
# Gốc Trung: 小盈！安可记住了。这是{PlayerName}，{TA}是我们羊咩小队的队长！
# Hiện tại : Ying! An Khả nhớ rồi. Đây là {PlayerName}, {Male=anh ấy;Female=chị ấy} là đội trưởng Đội Phiêu Lưu Cừu của bọn tớ đó!

@@ lang_multi_text.db||MultiText||Heihaian_main_1_3_5701_24
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}'] nhưng Dịch có []
# Gốc Trung: ……照{TA}说的做。
# Hiện tại : ...Làm theo lời {Male=ngài ấy;Female=ngài ấy} nói.

@@ lang_multi_text.db||MultiText||Side_HHAJYSC_1_8
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}'] nhưng Dịch có []
# Gốc Trung: 很久以前，黑海岸有一位神秘人！据说{TA}上天入地无所不能，只需要挥挥手，叮咚一声，鸣式什么的就都能消灭！
# Hiện tại : Rất lâu về trước, ở Hắc Hải Ngạn có một nhân vật bí ẩn! Nghe nói {Male=anh ấy;Female=cô ấy} trên trời dưới đất không gì không làm được, chỉ cần vẫy tay một cái, đinh đông một tiếng, cái lũ Minh Thức hay gì gì đó đều bị tiêu diệt sạch!

@@ lang_multi_text.db||MultiText||Side_HHAJYSC_1_10
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}', '{TA}'] nhưng Dịch có []
# Gốc Trung: 但是！突然在某一天，{TA}悄无声息地消失了，再也没有人见过{TA}。
# Hiện tại : Nhưng mà! Đột nhiên vào một ngày nọ, {Male=anh ấy;Female=cô ấy} lặng lẽ biến mất không một dấu vết, và không còn ai gặp lại người đó nữa.

@@ lang_multi_text.db||MultiText||Side_HHAJYSC_1_11
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}'] nhưng Dịch có []
# Gốc Trung: 就连泰缇斯系统里，也没有关于{TA}的记录。
# Hiện tại : Ngay cả trong Hệ Thống Tethys, cũng không có ghi chép gì về {Male=anh ấy;Female=cô ấy}.

@@ lang_multi_text.db||MultiText||Side_HHAJYSC_1_12
# Lỗi: Thiếu/thừa biến: Gốc có ['{TA}', '{TA}', '{TA}'] nhưng Dịch có []
# Gốc Trung: 不过，据说在黑海岸的一些地方，还残存着{TA}的频率，有些是{TA}抛弃了的，有些则是{TA}遗留下来的。
